date,datetime,timestamp,season,away,away_code,away_pts,home,home_code,home_pts,overtime,type,boxscore
3/29/2023,3/29/2023 22:00,1680127200,2023,Minnesota Timberwolves,MIN,100,Phoenix Suns,PHO,107,,,https://www.basketball-reference.com/boxscores/202303290PHO.html
3/29/2023,3/29/2023 22:00,1680127200,2023,Sacramento Kings,SAC,120,Portland Trail Blazers,POR,80,,,https://www.basketball-reference.com/boxscores/202303290POR.html
3/30/2023,3/30/2023 19:30,1680204600,2023,Boston Celtics,BOS,140,Milwaukee Bucks,MIL,99,,,https://www.basketball-reference.com/boxscores/202303300MIL.html
3/30/2023,3/30/2023 22:00,1680213600,2023,New Orleans Pelicans,NOP,107,Denver Nuggets,DEN,88,,,https://www.basketball-reference.com/boxscores/202303300DEN.html
3/31/2023,3/31/2023 19:00,1680289200,2023,Chicago Bulls,CHI,121,Charlotte Hornets,CHO,91,,,https://www.basketball-reference.com/boxscores/202303310CHO.html
3/31/2023,3/31/2023 19:00,1680289200,2023,Oklahoma City Thunder,OKC,117,Indiana Pacers,IND,121,,,https://www.basketball-reference.com/boxscores/202303310IND.html
3/31/2023,3/31/2023 19:00,1680289200,2023,Toronto Raptors,TOR,110,Philadelphia 76ers,PHI,117,,,https://www.basketball-reference.com/boxscores/202303310PHI.html
3/31/2023,3/31/2023 19:00,1680289200,2023,Orlando Magic,ORL,116,Washington Wizards,WAS,109,,,https://www.basketball-reference.com/boxscores/202303310WAS.html
3/31/2023,3/31/2023 19:30,1680291000,2023,Utah Jazz,UTA,114,Boston Celtics,BOS,122,,,https://www.basketball-reference.com/boxscores/202303310BOS.html
3/31/2023,3/31/2023 19:30,1680291000,2023,Atlanta Hawks,ATL,107,Brooklyn Nets,BRK,124,,,https://www.basketball-reference.com/boxscores/202303310BRK.html
3/31/2023,3/31/2023 19:30,1680291000,2023,New York Knicks,NYK,130,Cleveland Cavaliers,CLE,116,,,https://www.basketball-reference.com/boxscores/202303310CLE.html
3/31/2023,3/31/2023 20:00,1680292800,2023,Detroit Pistons,DET,115,Houston Rockets,HOU,121,,,https://www.basketball-reference.com/boxscores/202303310HOU.html
3/31/2023,3/31/2023 20:00,1680292800,2023,Los Angeles Clippers,LAC,94,Memphis Grizzlies,MEM,108,,,https://www.basketball-reference.com/boxscores/202303310MEM.html
3/31/2023,3/31/2023 20:00,1680292800,2023,Los Angeles Lakers,LAL,123,Minnesota Timberwolves,MIN,111,,,https://www.basketball-reference.com/boxscores/202303310MIN.html
3/31/2023,3/31/2023 22:00,1680300000,2023,San Antonio Spurs,SAS,115,Golden State Warriors,GSW,130,,,https://www.basketball-reference.com/boxscores/202303310GSW.html
3/31/2023,3/31/2023 22:00,1680300000,2023,Sacramento Kings,SAC,138,Portland Trail Blazers,POR,114,,,https://www.basketball-reference.com/boxscores/202303310POR.html
3/31/2023,3/31/2023 22:30,1680301800,2023,Denver Nuggets,DEN,93,Phoenix Suns,PHO,100,,,https://www.basketball-reference.com/boxscores/202303310PHO.html
4/1/2023,4/1/2023 19:30,1680377400,2023,Dallas Mavericks,DAL,122,Miami Heat,MIA,129,,,https://www.basketball-reference.com/boxscores/202304010MIA.html
4/1/2023,4/1/2023 20:30,1680381000,2023,Los Angeles Clippers,LAC,114,New Orleans Pelicans,NOP,122,,,https://www.basketball-reference.com/boxscores/202304010NOP.html
4/2/2023,4/2/2023 13:00,1680440400,2023,Toronto Raptors,TOR,128,Charlotte Hornets,CHO,108,,,https://www.basketball-reference.com/boxscores/202304020CHO.html
4/2/2023,4/2/2023 15:30,1680449400,2023,Utah Jazz,UTA,110,Brooklyn Nets,BRK,111,,,https://www.basketball-reference.com/boxscores/202304020BRK.html
4/2/2023,4/2/2023 15:30,1680449400,2023,Memphis Grizzlies,MEM,107,Chicago Bulls,CHI,128,,,https://www.basketball-reference.com/boxscores/202304020CHI.html
4/2/2023,4/2/2023 15:30,1680449400,2023,Portland Trail Blazers,POR,107,Minnesota Timberwolves,MIN,105,,,https://www.basketball-reference.com/boxscores/202304020MIN.html
4/2/2023,4/2/2023 18:00,1680458400,2023,Dallas Mavericks,DAL,130,Atlanta Hawks,ATL,132,OT,,https://www.basketball-reference.com/boxscores/202304020ATL.html
4/2/2023,4/2/2023 18:00,1680458400,2023,Washington Wizards,WAS,109,New York Knicks,NYK,118,,,https://www.basketball-reference.com/boxscores/202304020NYK.html
4/2/2023,4/2/2023 18:00,1680458400,2023,Detroit Pistons,DET,102,Orlando Magic,ORL,128,,,https://www.basketball-reference.com/boxscores/202304020ORL.html
4/2/2023,4/2/2023 18:00,1680458400,2023,San Antonio Spurs,SAS,142,Sacramento Kings,SAC,134,OT,,https://www.basketball-reference.com/boxscores/202304020SAC.html
4/2/2023,4/2/2023 19:00,1680462000,2023,Los Angeles Lakers,LAL,134,Houston Rockets,HOU,109,,,https://www.basketball-reference.com/boxscores/202304020HOU.html
4/2/2023,4/2/2023 19:00,1680462000,2023,Phoenix Suns,PHO,128,Oklahoma City Thunder,OKC,118,,,https://www.basketball-reference.com/boxscores/202304020OKC.html
4/2/2023,4/2/2023 20:00,1680465600,2023,Indiana Pacers,IND,105,Cleveland Cavaliers,CLE,115,,,https://www.basketball-reference.com/boxscores/202304020CLE.html
4/2/2023,4/2/2023 20:00,1680465600,2023,Philadelphia 76ers,PHI,104,Milwaukee Bucks,MIL,117,,,https://www.basketball-reference.com/boxscores/202304020MIL.html
4/2/2023,4/2/2023 20:30,1680467400,2023,Golden State Warriors,GSW,110,Denver Nuggets,DEN,112,,,https://www.basketball-reference.com/boxscores/202304020DEN.html
4/4/2023,4/4/2023 19:00,1680634800,2023,Toronto Raptors,TOR,120,Charlotte Hornets,CHO,100,,,https://www.basketball-reference.com/boxscores/202304040CHO.html
